,Chapter,Section
311, 49: Officers and Employees, 1136.1. Prohibitions on the use of government funds and resources.
313, 52: General Provisions, 1150. Definitions.
314, 52: General Provisions, 1152. Time of taking effect.
317, 54: Collective Bargaining, 1171. Board of collective bargaining.
319, 56: Department of Small Business Services, 1301. Powers and duties of the commissioner.
324, 56: Department of Small Business Services, 1302. Waterfront plans.
325, 56: Department of Small Business Services, 1303. Waterfront management advisory board.
326, 58: Department of Finance, 1524. Deposit banks.
328, 58: Department of Finance, 1524-a. Community investment advisory board.
330, 61: Department of Housing Preservation and Development, 1802. Powers and duties of the commissioner.
332, 61: Department of Housing Preservation and Development, 1804. Acquisitions of real property.
334, 65: New York City Taxi and Limousine Commission, 2301. Membership of commission.
336, 65: New York City Taxi and Limousine Commission," 2303. Jurisdiction, powers and duties of commission."
338, 65: New York City Taxi and Limousine Commission, 2304. Rates.
341, 66: Department For the Aging, 2403. Advisory council.
342, 68: Conflicts of Interest, 2602. Conflicts of interest board.
343, 68: Conflicts of Interest, 2604. Prohibited interests and conduct.
345, 69: Community Districts and Coterminality of Services, 2702. Preparation and adoption of map.
346, 69: Community Districts and Coterminality of Services, 2704. Coterminality of local services.
347, 70: City Government In the Community, 2800. Community boards.
353, 70: City Government In the Community, 2801. Actions of community boards.
354, 74: Landmarks Preservation Commission, 3020. Landmarks preservation commission.
359, 75: Department of Veterans' Services, 3103. Veterans' advisory board.
360, 76: Civic Engagement Commission, 3201. Membership of the commission.
365, 76: Civic Engagement Commission," 3202. Jurisdiction, powers and duties of the commission."
